l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
3.0,17.0,6.0,20.0,0.0,0.0,3.0,6.0
6.0,18.0,7.0,20.0,0.0,0.0,4.0,6.0
7.0,18.0,8.0,20.0,1.0,1.0,7.0,5.0
7.0,17.0,8.0,18.0,4.0,4.0,19.0,2.0
8.0,17.0,9.0,20.0,4.0,4.0,20.0,2.0
8.0,17.0,9.0,20.0,4.0,4.0,21.0,2.0
8.0,6.0,9.0,12.0,5.0,5.0,24.0,5.0
4.0,12.0,8.0,14.0,6.0,6.0,29.0,8.0
8.0,12.0,9.0,14.0,6.0,6.0,30.0,4.0
4.0,12.0,8.0,14.0,6.0,6.0,32.0,8.0
8.0,12.0,9.0,14.0,6.0,6.0,33.0,4.0
3.0,14.0,4.0,17.0,7.0,7.0,35.0,3.0
4.0,14.0,8.0,17.0,7.0,7.0,36.0,5.0
8.0,14.0,9.0,17.0,7.0,7.0,37.0,2.0
6.0,17.0,7.0,18.0,7.0,7.0,38.0,1.0
3.0,14.0,4.0,15.0,10.0,10.0,41.0,3.0
