l_l_m,l_l_n,u_r_m,u_r_n,n,u
8.0,17.0,9.0,20.0,13.0,13.0
8.0,0.0,9.0,3.0,13.0,13.0
5.0,1.0,7.0,2.0,13.0,13.0
2.0,0.0,3.0,1.0,13.0,13.0
