l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,10.0,7.0,17.0,1.0,1.0,3.0,14.0
7.0,10.0,8.0,17.0,1.0,1.0,4.0,10.0
6.0,6.0,8.0,10.0,3.0,3.0,5.0,6.0
8.0,6.0,9.0,14.0,3.0,3.0,6.0,1.0
8.0,0.0,9.0,9.0,4.0,4.0,10.0,3.0
7.0,0.0,8.0,6.0,4.0,4.0,11.0,8.0
9.0,0.0,10.0,3.0,5.0,5.0,12.0,1.0
9.0,3.0,10.0,17.0,5.0,5.0,13.0,0.0
9.0,17.0,10.0,20.0,5.0,5.0,14.0,1.0
8.0,14.0,9.0,18.0,5.0,5.0,15.0,2.0
8.0,10.0,9.0,14.0,6.0,6.0,17.0,0.0
6.0,17.0,8.0,18.0,6.0,6.0,18.0,6.0
6.0,9.0,8.0,10.0,7.0,7.0,19.0,3.0
6.0,18.0,8.0,19.0,12.0,12.0,29.0,1.0
8.0,18.0,9.0,20.0,13.0,13.0,30.0,0.0
9.0,16.0,10.0,17.0,13.0,13.0,31.0,0.0
9.0,3.0,10.0,4.0,13.0,13.0,32.0,0.0
7.0,10.0,8.0,11.0,23.0,23.0,40.0,0.0
7.0,5.0,8.0,6.0,23.0,23.0,41.0,0.0
