l_l_m,l_l_n,u_r_m,u_r_n,n,u
1.0,11.0,2.0,20.0,1.0,1.0
2.0,12.0,3.0,20.0,1.0,1.0
3.0,12.0,6.0,19.0,1.0,1.0
6.0,13.0,7.0,19.0,1.0,1.0
7.0,13.0,8.0,15.0,1.0,1.0
7.0,16.0,8.0,18.0,1.0,1.0
