l_l_m,l_l_n,u_r_m,u_r_n,n,u
2.0,15.0,4.0,20.0,7.0,7.0
4.0,17.0,7.0,20.0,7.0,7.0
7.0,18.0,8.0,20.0,7.0,7.0
