l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
2.0,1.0,8.0,8.0,0.0,0.0,0.0,14.0
1.0,12.0,4.0,20.0,1.0,1.0,1.0,6.0
5.0,13.0,8.0,19.0,1.0,1.0,3.0,6.0
8.0,2.0,9.0,10.0,2.0,2.0,4.0,5.0
4.0,18.0,5.0,19.0,6.0,6.0,13.0,2.0
8.0,18.0,9.0,20.0,6.0,6.0,14.0,1.0
2.0,19.0,8.0,20.0,6.0,6.0,15.0,2.0
2.0,0.0,8.0,1.0,6.0,6.0,16.0,4.0
8.0,0.0,9.0,2.0,6.0,6.0,17.0,5.0
8.0,0.0,9.0,2.0,6.0,6.0,18.0,5.0
8.0,2.0,9.0,7.0,9.0,9.0,22.0,3.0
2.0,0.0,4.0,1.0,11.0,11.0,25.0,2.0
2.0,0.0,4.0,1.0,11.0,11.0,26.0,2.0
7.0,0.0,8.0,1.0,13.0,13.0,29.0,4.0
8.0,17.0,9.0,18.0,18.0,18.0,32.0,0.0
