l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
3.0,0.0,6.0,4.0,0.0,0.0,1.0,4.0
6.0,0.0,7.0,3.0,0.0,0.0,2.0,4.0
1.0,16.0,3.0,20.0,0.0,0.0,3.0,4.0
3.0,17.0,6.0,20.0,0.0,0.0,4.0,4.0
6.0,18.0,7.0,20.0,0.0,0.0,5.0,4.0
6.0,17.0,7.0,18.0,1.0,1.0,6.0,2.0
7.0,17.0,8.0,20.0,1.0,1.0,7.0,2.0
7.0,17.0,8.0,20.0,1.0,1.0,8.0,2.0
7.0,0.0,8.0,3.0,1.0,1.0,9.0,3.0
3.0,16.0,4.0,17.0,1.0,1.0,10.0,1.0
8.0,18.0,9.0,20.0,4.0,4.0,22.0,0.0
8.0,0.0,9.0,2.0,4.0,4.0,23.0,0.0
8.0,12.0,9.0,18.0,7.0,7.0,28.0,1.0
2.0,13.0,4.0,16.0,7.0,7.0,29.0,1.0
4.0,13.0,8.0,17.0,7.0,7.0,30.0,3.0
4.0,13.0,8.0,17.0,7.0,7.0,31.0,3.0
8.0,12.0,9.0,14.0,9.0,9.0,33.0,1.0
7.0,19.0,8.0,20.0,11.0,11.0,35.0,0.0
