l_l_m,l_l_n,u_r_m,u_r_n,n,u
9.0,12.0,10.0,20.0,12.0,12.0
4.0,19.0,8.0,20.0,12.0,12.0
8.0,18.0,9.0,20.0,12.0,12.0
7.0,11.0,8.0,13.0,12.0,12.0
8.0,11.0,9.0,12.0,12.0,12.0
8.0,11.0,9.0,12.0,12.0,12.0
