l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
2.0,1.0,7.0,8.0,0.0,0.0,1.0,23.0
7.0,2.0,8.0,7.0,0.0,0.0,2.0,17.0
7.0,0.0,8.0,4.0,1.0,1.0,6.0,10.0
7.0,0.0,8.0,4.0,1.0,1.0,7.0,10.0
8.0,2.0,9.0,9.0,2.0,2.0,8.0,10.0
2.0,8.0,7.0,9.0,2.0,2.0,9.0,10.0
7.0,7.0,8.0,9.0,2.0,2.0,10.0,13.0
4.0,9.0,8.0,13.0,3.0,3.0,13.0,5.0
7.0,5.0,8.0,7.0,3.0,3.0,14.0,16.0
7.0,4.0,8.0,5.0,8.0,8.0,26.0,12.0
2.0,8.0,3.0,9.0,11.0,11.0,30.0,5.0
7.0,7.0,8.0,8.0,13.0,13.0,31.0,8.0
5.0,8.0,7.0,9.0,17.0,17.0,34.0,5.0
2.0,9.0,8.0,10.0,20.0,20.0,35.0,0.0
8.0,4.0,9.0,7.0,23.0,23.0,37.0,1.0
7.0,9.0,9.0,10.0,24.0,24.0,38.0,0.0
