l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,0.0,3.0,7.0,0.0,0.0,0.0,14.0
3.0,0.0,5.0,6.0,0.0,0.0,1.0,14.0
5.0,0.0,7.0,5.0,0.0,0.0,2.0,14.0
7.0,0.0,9.0,8.0,1.0,1.0,3.0,19.0
8.0,16.0,9.0,17.0,1.0,1.0,6.0,2.0
4.0,19.0,6.0,20.0,1.0,1.0,7.0,4.0
6.0,18.0,7.0,20.0,1.0,1.0,8.0,4.0
7.0,17.0,10.0,20.0,1.0,1.0,9.0,4.0
6.0,13.0,9.0,16.0,7.0,7.0,26.0,4.0
2.0,18.0,4.0,20.0,7.0,7.0,27.0,3.0
4.0,18.0,6.0,19.0,7.0,7.0,28.0,3.0
3.0,16.0,6.0,18.0,7.0,7.0,29.0,3.0
7.0,16.0,8.0,17.0,7.0,7.0,30.0,3.0
6.0,16.0,7.0,18.0,7.0,7.0,33.0,3.0
2.0,16.0,3.0,18.0,8.0,8.0,35.0,1.0
2.0,16.0,3.0,18.0,8.0,8.0,36.0,1.0
