batch;Internet;Wireless;BT_Int;BT_Wir
0;0.375622390282992;0.375622390282992;131;131
1;0.381700170859648;0.381700170859648;132;132
2;0.37770494648830405;0.37770494648830405;144;144
3;0.3867915042811039;0.3867915042811039;144;144
4;0.36571635624996807;0.36571635624996807;144;144
5;0.441073288112784;0.441073288112784;168;168
6;0.39152646838150407;0.39152646838150407;160;160
7;0.400509303143936;0.400509303143936;158;158
8;0.341366143098912;0.341366143098912;143;143
9;0.33835266281223997;0.33835266281223997;136;136
10;0.34131434332311994;0.34131434332311994;139;139
11;0.34116913516015995;0.34116913516015995;140;140
12;0.34037150328025606;0.34037150328025606;140;140
13;0.33170904893792;0.33170904893792;145;145
14;0.342189658297312;0.342189658297312;141;141
15;0.346942349649056;0.346942349649056;138;138
16;0.32997678859281604;0.32997678859281604;132;132
17;0.351881964088688;0.351881964088688;137;137
18;0.33141776980504;0.33141776980504;124;124
19;0.37085303494968;0.37085303494968;132;132
20;0.34152699176843204;0.34152699176843204;134;134
21;0.34249802679271996;0.34249802679271996;135;135
22;0.35498969586732804;0.35498969586732804;138;138
23;0.35855169582211205;0.35855169582211205;133;133
24;0.359915555267552;0.359915555267552;135;135
25;0.38290684945144005;0.38290684945144005;132;132
26;0.39430220887375994;0.39430220887375994;132;132
27;0.399543666995744;0.399543666995744;133;133
28;0.354360370705568;0.354360370705568;126;126
29;0.37837571692206406;0.37837571692206406;137;137
30;0.36873540697232;0.36873540697232;142;142
31;0.3942240121327841;0.3942240121327841;148;148
32;0.39382327966523195;0.39382327966523195;150;150
33;0.396700073287808;0.396700073287808;139;139
34;0.38898394686361604;0.38898394686361604;142;142
35;0.378274743013424;0.378274743013424;148;148
36;0.3636875283999841;0.3636875283999841;133;133
37;0.3768444053327359;0.3768444053327359;137;137
38;0.3711971009980641;0.3711971009980641;137;137
39;0.35797492959406396;0.35797492959406396;136;136
40;0.3537743035124;0.3537743035124;132;132
41;0.33469649175528;0.33469649175528;130;130
42;0.31519292921030406;0.31519292921030406;132;132
43;0.33079064415752;0.33079064415752;129;129
44;0.322799433464112;0.322799433464112;123;123
45;0.347745920170256;0.347745920170256;128;128
46;0.338345967019632;0.338345967019632;126;126
47;0.34585824675840005;0.34585824675840005;133;133
48;0.368552935488784;0.368552935488784;141;141
49;0.34215956368529604;0.34215956368529604;138;138
50;0.350194868591712;0.350194868591712;133;133
51;0.347698580822016;0.347698580822016;134;134
52;0.34862054405124804;0.34862054405124804;133;133
53;0.355479381989088;0.355479381989088;131;131
54;0.36010637664302403;0.36010637664302403;128;128
55;0.377556454950736;0.377556454950736;130;130
56;0.39247471815907203;0.39247471815907203;132;132
57;0.365731294041744;0.365731294041744;131;131
58;0.338698694094;0.338698694094;126;126
59;0.34874454237863994;0.34874454237863994;133;133
60;0.337166601970128;0.337166601970128;134;134
61;0.356745155454368;0.356745155454368;140;140
62;0.371982089718992;0.371982089718992;146;146
63;0.36996436311248;0.36996436311248;144;144
64;0.362075027555648;0.362075027555648;144;144
65;0.36041470185816;0.36041470185816;144;144
66;0.37061107376860797;0.37061107376860797;144;144
67;0.365527404666672;0.365527404666672;139;139
68;0.37820435674591996;0.37820435674591996;143;143
69;0.3959778209886561;0.3959778209886561;146;146
70;0.415833404184032;0.415833404184032;145;145
70;0.3821846394804321;0.3821846394804321;126;126
71;0.4438378574085281;0.4438378574085281;150;150
71;0.395882344156816;0.395882344156816;126;126
72;0.43770891913548804;0.43770891913548804;142;142
72;0.37814377404430394;0.37814377404430394;133;133
73;0.41400974869401597;0.41400974869401597;142;142
73;0.382535579505856;0.382535579505856;135;135
74;0.34402586427289605;0.34402586427289605;142;142
74;0.375839756789328;0.375839756789328;142;142
75;0.310114876555312;0.310114876555312;141;141
