batch;Internet;Wireless;BT_Int;BT_Wir
0;0.130939524792192;0.3928185743765761;51;153
1;0.381700170859648;1.145100512578944;132;396
2;0.37770494648830405;1.1331148394649122;144;432
3;0.3867915042811039;1.160374512843312;144;432
4;0.36571635624996807;1.097149068749904;144;432
5;0.441073288112784;1.3232198643383521;168;504
6;0.39152646838150407;1.1745794051445122;160;480
7;0.400509303143936;1.2015279094318077;158;474
8;0.341366143098912;1.0240984292967357;143;429
9;0.33835266281223997;1.0150579884367197;136;408
10;0.34131434332311994;1.0239430299693595;139;417
11;0.34116913516015995;1.0235074054804798;140;420
12;0.34037150328025606;1.021114509840768;140;420
13;0.33170904893792;0.9951271468137598;145;435
14;0.342189658297312;1.0265689748919358;141;423
15;0.346942349649056;1.0408270489471678;138;414
16;0.32997678859281604;0.989930365778448;132;396
17;0.351881964088688;1.0556458922660639;137;411
18;0.33141776980504;0.99425330941512;124;372
19;0.37085303494968;1.11255910484904;132;396
20;0.34152699176843204;1.024580975305296;134;402
21;0.34249802679271996;1.02749408037816;135;405
22;0.35498969586732804;1.064969087601984;138;414
23;0.35855169582211205;1.075655087466336;133;399
24;0.359915555267552;1.0797466658026562;135;405
25;0.38290684945144005;1.1487205483543201;132;396
26;0.39430220887375994;1.18290662662128;132;396
27;0.399543666995744;1.1986310009872319;133;399
28;0.354360370705568;1.0630811121167039;126;378
29;0.37837571692206406;1.135127150766192;137;411
30;0.36873540697232;1.1062062209169599;142;426
31;0.3942240121327841;1.182672036398352;148;444
32;0.39382327966523195;1.181469838995696;150;450
33;0.396700073287808;1.1901002198634238;139;417
34;0.38898394686361604;1.166951840590848;142;426
35;0.378274743013424;1.134824229040272;148;444
36;0.3636875283999841;1.0910625851999523;133;399
37;0.25581051040993597;0.767431531229808;95;285
38;0.25169059537369604;0.755071786121088;95;285
39;0.24127583373486403;0.7238275012045919;94;282
40;0.234612997878352;0.703838993635056;90;270
41;0.33469649175528;1.00408947526584;130;390
42;0.31519292921030406;0.9455787876309121;132;396
43;0.33079064415752;0.9923719324725597;129;387
44;0.322799433464112;0.968398300392336;123;369
45;0.23121238499516802;0.6936371549855039;86;258
46;0.245560988038832;0.7366829641164959;91;273
47;0.34585824675840005;1.0375747402751998;133;399
48;0.368552935488784;1.105658806466352;141;423
49;0.34215956368529604;1.026478691055888;138;414
50;0.350194868591712;1.050584605775136;133;399
51;0.347698580822016;1.043095742466048;134;402
52;0.34862054405124804;1.045861632153744;133;399
53;0.24265663176752003;0.72796989530256;89;267
54;0.36010637664302403;1.0803191299290722;128;384
55;0.377556454950736;1.1326693648522081;130;390
56;0.39247471815907203;1.1774241544772157;132;396
57;0.365731294041744;1.0971938821252318;131;393
58;0.338698694094;1.016096082282;126;378
59;0.34874454237863994;1.04623362713592;133;399
60;0.337166601970128;1.0114998059103841;134;402
61;0.356745155454368;1.070235466363104;140;420
62;0.371982089718992;1.115946269156976;146;438
63;0.24767621566166395;0.7430286469849918;96;288
64;0.345499477246336;1.036498431739008;138;414
65;0.36041470185816;1.08124410557448;144;432
66;0.37061107376860797;1.111833221305824;144;432
67;0.365527404666672;1.0965822140000157;139;417
68;0.36245913454580797;1.087377403637424;137;411
69;0.3959778209886561;1.187933462965968;146;438
70;0.415833404184032;1.247500212552096;145;435
70;0.3821846394804321;1.1465539184412958;126;378
71;0.4438378574085281;1.331513572225584;150;450
71;0.395882344156816;1.187647032470448;126;378
72;0.43770891913548804;1.3131267574064642;142;426
72;0.37814377404430394;1.1344313221329119;133;399
73;0.41400974869401597;1.2420292460820483;142;426
73;0.382535579505856;1.147606738517568;135;405
74;0.34402586427289605;1.0320775928186878;142;426
74;0.375839756789328;1.127519270367984;142;426
75;0.310114876555312;0.9303446296659359;141;423
75;0.333958712623728;1.001876137871184;123;369
76;0.2705522788910081;0.8116568366730239;123;369
76;0.390646177677616;1.171938533032848;145;435
77;0.34576080475296;1.0372824142588801;143;429
77;0.43090963100375995;1.2927288930112801;161;483
78;0.358602714152944;1.075808142458832;152;456
78;0.42080853749316793;1.2624256124795037;165;495
79;0.34586073426953606;1.0375822028086081;143;429
79;0.392444080736064;1.177332242208192;159;477
80;0.351530838121392;1.0545925143641761;147;441
80;0.383702998270896;1.151108994812688;159;477
81;0.352794325995344;1.0583829779860319;145;435
81;0.32567916832108806;0.977037504963264;138;414
82;0.321272007846912;0.9638160235407363;144;432
82;0.361775302282064;1.0853259068461918;161;483
83;0.335131982528544;1.005395947585632;144;432
83;0.39459318590878406;1.1837795577263517;177;531
84;0.337273430438768;1.0118202913163041;144;432
84;0.30103345813726395;0.9031003744117919;133;399
85;0.339522719939888;1.0185681598196639;145;435
85;0.301520938059072;0.904562814177216;134;402
86;0.352312954018688;1.056938862056064;144;432
86;0.25902945550854395;0.7770883665256318;117;351
87;0.361266817187808;1.083800451563424;146;438
87;0.27737978067532804;0.8321393420259842;129;387
88;0.3539017739702881;1.061705321910864;146;438
88;0.161686039216496;0.4850581176494879;66;198
89;0.34528597865368;1.03585793596104;145;435
89;0.281462397364096;0.844387192092288;127;381
90;0.356470143517296;1.069410430551888;147;441
90;0.310616789652784;0.9318503689583518;137;411
91;0.353257893881136;1.0597736816434078;146;438
91;0.292810970074176;0.8784329102225279;135;405
92;0.37065876729478403;1.111976301884352;147;441
92;0.316383442277952;0.9491503268338561;138;414
93;0.353463173485344;1.060389520456032;145;435
93;0.315946554737488;0.9478396642124641;127;381
94;0.34284062402408;1.02852187207224;145;435
94;0.28778743727728;0.86336231183184;114;342
95;0.326763896739216;0.9802916902176481;136;408
95;0.415255780738544;1.2457673422156317;150;450
96;0.336835430344784;1.0105062910343523;141;423
96;0.36265735756974404;1.087972072709232;143;429
97;0.35289336980691205;1.058680109420736;143;429
97;0.35436750058643196;1.0631025017592963;143;429
98;0.245463750623312;0.736391251869936;95;285
98;0.35583713623155194;1.0675114086946558;144;432
99;0.345791830137968;1.037375490413904;142;426
99;0.356986142442128;1.070958427326384;144;432
100;0.357865358153872;1.073596074461616;143;429
100;0.33901842104296;1.0170552631288798;144;432
101;0.359868494143552;1.079605482430656;144;432
101;0.339689711925904;1.019069135777712;142;426
102;0.3601918354907201;1.0805755064721598;144;432
102;0.31660341712048;0.9498102513614401;132;396
103;0.356655373634832;1.069966120904496;143;429
103;0.340007997462288;1.0200239923868637;139;417
104;0.33576661699742405;1.0072998509922721;140;420
104;0.31716768033556797;0.951503041006704;136;408
105;0.29501765140016006;0.8850529542004799;128;384
105;0.301108712718352;0.903326138155056;124;372
106;0.34008836194915204;1.020265085847456;140;420
106;0.30963745170244794;0.928912355107344;127;381
107;0.36043367349956806;1.0813010204987041;140;420
107;0.292798576626896;0.8783957298806878;124;372
108;0.329797574351248;0.989392723053744;136;408
108;0.30504722148112;0.91514166444336;130;390
109;0.32690295148201604;0.9807088544460482;136;408
109;0.325177493358064;0.975532480074192;136;408
110;0.308139847441456;0.9244195423243682;127;381
110;0.33651151571812804;1.009534547154384;143;429
111;0.308118650741824;0.9243559522254718;127;381
111;0.34626734802963205;1.038802044088896;145;435
112;0.238646634701408;0.715939904104224;104;312
112;0.301574863765856;0.904724591297568;133;399
113;0.30805946943099205;0.9241784082929763;125;375
113;0.331383147157248;0.9941494414717439;138;414
114;0.30811259275337605;0.924337778260128;125;375
114;0.349471135970896;1.048413407912688;134;402
115;0.308616692490528;0.9258500774715839;126;378
115;0.33393170531918404;1.001795115957552;132;396
116;0.32749382864472004;0.98248148593416;126;378
116;0.33938712003967997;1.0181613601190398;129;387
117;0.232881508350192;0.698644525050576;89;267
117;0.338468255123856;1.0154047653715679;132;396
118;0.334673474253056;1.004020422759168;132;396
118;0.331423659025744;0.9942709770772318;132;396
119;0.321662559985568;0.964987679956704;132;396
119;0.33903128954455997;1.01709386863368;137;411
120;0.326508047007664;0.979524141022992;135;405
121;0.331386446089296;0.994159338267888;135;405
122;0.349946149727696;1.0498384491830879;147;441
123;0.328630087455984;0.985890262367952;142;426
124;0.3656941805476959;1.097082541643088;145;435
