l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
3.0,4.0,5.0,9.0,2.0,2.0,12.0,6.0
5.0,4.0,6.0,10.0,2.0,2.0,13.0,6.0
6.0,3.0,8.0,10.0,2.0,2.0,14.0,6.0
2.0,9.0,4.0,12.0,3.0,3.0,17.0,4.0
4.0,9.0,5.0,11.0,3.0,3.0,18.0,4.0
5.0,10.0,8.0,11.0,3.0,3.0,19.0,4.0
4.0,11.0,8.0,12.0,5.0,5.0,22.0,2.0
6.0,13.0,8.0,14.0,6.0,6.0,25.0,2.0
2.0,12.0,8.0,13.0,6.0,6.0,26.0,2.0
2.0,7.0,3.0,9.0,6.0,6.0,27.0,2.0
2.0,13.0,3.0,16.0,7.0,7.0,28.0,0.0
3.0,13.0,6.0,17.0,7.0,7.0,29.0,1.0
6.0,14.0,8.0,17.0,7.0,7.0,30.0,0.0
2.0,13.0,3.0,14.0,9.0,9.0,34.0,0.0
