l_l_m,l_l_n,u_r_m,u_r_n,n,u
1.0,15.0,2.0,20.0,12.0,12.0
2.0,17.0,6.0,18.0,12.0,12.0
6.0,16.0,8.0,17.0,12.0,12.0
7.0,0.0,8.0,1.0,12.0,12.0
