l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
3.0,10.0,4.0,15.0,1.0,1.0,4.0,8.0
4.0,10.0,5.0,16.0,1.0,1.0,5.0,9.0
5.0,9.0,6.0,16.0,1.0,1.0,6.0,13.0
6.0,9.0,10.0,17.0,1.0,1.0,7.0,21.0
2.0,8.0,5.0,11.0,2.0,2.0,9.0,14.0
2.0,11.0,3.0,12.0,3.0,3.0,13.0,6.0
3.0,11.0,5.0,12.0,4.0,4.0,14.0,5.0
2.0,12.0,3.0,13.0,5.0,5.0,18.0,3.0
2.0,15.0,4.0,20.0,7.0,7.0,21.0,6.0
4.0,16.0,6.0,20.0,7.0,7.0,22.0,5.0
1.0,8.0,2.0,14.0,8.0,8.0,28.0,2.0
2.0,13.0,3.0,15.0,8.0,8.0,29.0,3.0
4.0,15.0,6.0,16.0,13.0,13.0,40.0,2.0
3.0,14.0,4.0,15.0,27.0,27.0,45.0,0.0
