l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
8.0,2.0,9.0,10.0,2.0,2.0,11.0,1.0
2.0,5.0,3.0,9.0,2.0,2.0,12.0,4.0
3.0,4.0,5.0,9.0,2.0,2.0,13.0,4.0
5.0,4.0,6.0,10.0,2.0,2.0,14.0,4.0
6.0,3.0,8.0,10.0,2.0,2.0,15.0,5.0
2.0,5.0,3.0,9.0,3.0,3.0,18.0,3.0
2.0,9.0,3.0,12.0,3.0,3.0,19.0,3.0
3.0,9.0,5.0,11.0,3.0,3.0,20.0,3.0
5.0,10.0,8.0,11.0,3.0,3.0,21.0,3.0
8.0,6.0,9.0,12.0,5.0,5.0,24.0,0.0
6.0,12.0,8.0,13.0,5.0,5.0,25.0,2.0
3.0,11.0,8.0,12.0,5.0,5.0,26.0,2.0
2.0,12.0,6.0,13.0,6.0,6.0,27.0,1.0
8.0,12.0,9.0,18.0,7.0,7.0,28.0,0.0
2.0,13.0,4.0,16.0,7.0,7.0,29.0,0.0
4.0,13.0,8.0,17.0,7.0,7.0,30.0,0.0
4.0,13.0,8.0,17.0,7.0,7.0,31.0,0.0
