l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,0.0,3.0,5.0,0.0,0.0,0.0,7.0
3.0,0.0,7.0,4.0,0.0,0.0,1.0,12.0
2.0,7.0,3.0,9.0,2.0,2.0,9.0,12.0
2.0,3.0,3.0,5.0,2.0,2.0,10.0,10.0
3.0,4.0,6.0,9.0,2.0,2.0,11.0,19.0
6.0,4.0,8.0,10.0,2.0,2.0,12.0,19.0
6.0,4.0,8.0,10.0,2.0,2.0,13.0,19.0
1.0,4.0,2.0,12.0,3.0,3.0,14.0,3.0
2.0,5.0,3.0,7.0,3.0,3.0,15.0,7.0
2.0,6.0,3.0,7.0,5.0,5.0,26.0,6.0
7.0,3.0,8.0,4.0,8.0,8.0,39.0,7.0
1.0,8.0,2.0,11.0,14.0,14.0,44.0,1.0
2.0,9.0,4.0,11.0,23.0,23.0,50.0,0.0
1.0,5.0,2.0,7.0,28.0,28.0,53.0,0.0
2.0,7.0,3.0,8.0,28.0,28.0,54.0,0.0
