l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,16.0,3.0,20.0,0.0,0.0,2.0,0.0
3.0,17.0,6.0,20.0,0.0,0.0,3.0,2.0
6.0,18.0,7.0,20.0,0.0,0.0,4.0,2.0
1.0,17.0,3.0,20.0,1.0,1.0,5.0,0.0
7.0,18.0,8.0,20.0,1.0,1.0,7.0,1.0
7.0,17.0,8.0,18.0,4.0,4.0,19.0,0.0
8.0,17.0,9.0,20.0,4.0,4.0,20.0,0.0
8.0,17.0,9.0,20.0,4.0,4.0,21.0,0.0
3.0,12.0,4.0,14.0,6.0,6.0,28.0,0.0
4.0,12.0,8.0,14.0,6.0,6.0,29.0,0.0
8.0,12.0,9.0,14.0,6.0,6.0,30.0,0.0
3.0,12.0,4.0,14.0,6.0,6.0,31.0,0.0
4.0,12.0,8.0,14.0,6.0,6.0,32.0,0.0
8.0,12.0,9.0,14.0,6.0,6.0,33.0,0.0
