l_l_m,l_l_n,u_r_m,u_r_n,n,u
9.0,8.0,10.0,12.0,4.0,4.0
6.0,11.0,7.0,12.0,4.0,4.0
7.0,11.0,8.0,13.0,4.0,4.0
8.0,10.0,9.0,14.0,4.0,4.0
3.0,9.0,4.0,10.0,4.0,4.0
