l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,0.0,3.0,9.0,0.0,0.0,0.0,21.0
3.0,1.0,4.0,9.0,0.0,0.0,1.0,23.0
4.0,1.0,5.0,8.0,0.0,0.0,2.0,24.0
5.0,2.0,7.0,8.0,0.0,0.0,3.0,25.0
7.0,6.0,8.0,7.0,0.0,0.0,5.0,24.0
7.0,7.0,8.0,10.0,1.0,1.0,6.0,17.0
1.0,9.0,4.0,10.0,1.0,1.0,7.0,6.0
4.0,8.0,7.0,10.0,1.0,1.0,8.0,15.0
7.0,4.0,8.0,6.0,1.0,1.0,9.0,22.0
4.0,5.0,5.0,8.0,5.0,5.0,17.0,19.0
7.0,5.0,8.0,6.0,5.0,5.0,18.0,19.0
3.0,8.0,4.0,9.0,6.0,6.0,22.0,8.0
4.0,8.0,7.0,9.0,8.0,8.0,24.0,13.0
3.0,9.0,4.0,10.0,13.0,13.0,30.0,2.0
6.0,9.0,8.0,10.0,15.0,15.0,33.0,7.0
