l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
8.0,7.0,9.0,15.0,1.0,1.0,2.0,8.0
5.0,15.0,7.0,16.0,1.0,1.0,4.0,3.0
7.0,15.0,9.0,17.0,1.0,1.0,5.0,4.0
3.0,9.0,6.0,15.0,1.0,1.0,6.0,14.0
6.0,8.0,8.0,15.0,1.0,1.0,7.0,13.0
2.0,15.0,5.0,20.0,7.0,7.0,15.0,5.0
5.0,16.0,7.0,20.0,7.0,7.0,16.0,4.0
7.0,17.0,8.0,20.0,7.0,7.0,17.0,4.0
5.0,19.0,8.0,20.0,11.0,11.0,25.0,3.0
8.0,17.0,9.0,18.0,12.0,12.0,27.0,2.0
8.0,14.0,9.0,15.0,12.0,12.0,28.0,1.0
8.0,18.0,9.0,20.0,13.0,13.0,29.0,1.0
2.0,14.0,3.0,15.0,19.0,19.0,33.0,0.0
8.0,13.0,9.0,14.0,19.0,19.0,34.0,0.0
