l_l_m,l_l_n,u_r_m,u_r_n,n,u
6.0,13.0,9.0,16.0,7.0,7.0
2.0,18.0,4.0,20.0,7.0,7.0
4.0,18.0,6.0,19.0,7.0,7.0
3.0,16.0,6.0,18.0,7.0,7.0
7.0,16.0,8.0,17.0,7.0,7.0
2.0,15.0,3.0,16.0,7.0,7.0
3.0,14.0,6.0,16.0,7.0,7.0
6.0,16.0,7.0,18.0,7.0,7.0
