l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,0.0,3.0,9.0,0.0,0.0,0.0,8.0
3.0,1.0,6.0,8.0,0.0,0.0,1.0,11.0
6.0,2.0,7.0,7.0,0.0,0.0,2.0,8.0
1.0,10.0,7.0,17.0,1.0,1.0,3.0,13.0
6.0,6.0,8.0,10.0,3.0,3.0,5.0,5.0
2.0,7.0,3.0,10.0,3.0,3.0,7.0,6.0
3.0,8.0,6.0,10.0,3.0,3.0,8.0,6.0
5.0,7.0,6.0,8.0,5.0,5.0,16.0,4.0
6.0,9.0,8.0,10.0,7.0,7.0,19.0,2.0
1.0,8.0,2.0,10.0,7.0,7.0,20.0,3.0
6.0,6.0,7.0,7.0,8.0,8.0,22.0,4.0
3.0,8.0,5.0,9.0,14.0,14.0,33.0,2.0
1.0,9.0,2.0,10.0,17.0,17.0,36.0,0.0
2.0,9.0,3.0,10.0,21.0,21.0,39.0,0.0
