l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,1.0,7.0,8.0,0.0,0.0,0.0,20.0
7.0,2.0,8.0,8.0,0.0,0.0,1.0,19.0
1.0,8.0,7.0,11.0,1.0,1.0,2.0,6.0
7.0,8.0,8.0,10.0,1.0,1.0,3.0,10.0
7.0,8.0,8.0,10.0,1.0,1.0,4.0,10.0
7.0,0.0,8.0,2.0,2.0,2.0,6.0,8.0
7.0,0.0,8.0,2.0,2.0,2.0,7.0,8.0
8.0,1.0,9.0,9.0,3.0,3.0,8.0,8.0
6.0,8.0,7.0,9.0,3.0,3.0,9.0,9.0
7.0,9.0,8.0,10.0,6.0,6.0,16.0,4.0
2.0,8.0,6.0,9.0,8.0,8.0,17.0,5.0
8.0,9.0,9.0,11.0,9.0,9.0,19.0,3.0
7.0,8.0,8.0,9.0,13.0,13.0,24.0,6.0
7.0,1.0,8.0,2.0,17.0,17.0,27.0,3.0
8.0,9.0,9.0,10.0,19.0,19.0,28.0,2.0
7.0,6.0,8.0,8.0,23.0,23.0,31.0,0.0
