l_l_m,l_l_n,u_r_m,u_r_n,n,u
1.0,16.0,2.0,20.0,8.0,8.0
2.0,16.0,3.0,18.0,8.0,8.0
2.0,16.0,3.0,18.0,8.0,8.0
