l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
7.0,1.0,8.0,8.0,0.0,0.0,0.0,11.0
2.0,2.0,7.0,8.0,0.0,0.0,1.0,12.0
3.0,12.0,4.0,17.0,1.0,1.0,4.0,2.0
4.0,11.0,5.0,17.0,1.0,1.0,5.0,3.0
5.0,11.0,6.0,18.0,1.0,1.0,6.0,2.0
6.0,10.0,7.0,18.0,1.0,1.0,7.0,4.0
7.0,9.0,8.0,19.0,1.0,1.0,8.0,7.0
5.0,0.0,8.0,1.0,6.0,6.0,17.0,5.0
2.0,1.0,7.0,2.0,6.0,6.0,18.0,3.0
2.0,15.0,3.0,20.0,7.0,7.0,20.0,2.0
3.0,17.0,5.0,20.0,7.0,7.0,21.0,3.0
5.0,18.0,7.0,20.0,7.0,7.0,22.0,3.0
7.0,19.0,8.0,20.0,7.0,7.0,23.0,3.0
2.0,0.0,5.0,1.0,7.0,7.0,24.0,4.0
7.0,1.0,8.0,2.0,7.0,7.0,25.0,2.0
2.0,18.0,3.0,20.0,11.0,11.0,32.0,2.0
6.0,17.0,7.0,18.0,13.0,13.0,34.0,0.0
7.0,17.0,8.0,19.0,13.0,13.0,35.0,0.0
7.0,17.0,8.0,19.0,13.0,13.0,36.0,0.0
