l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
3.0,0.0,7.0,5.0,0.0,0.0,0.0,15.0
0.0,0.0,3.0,5.0,0.0,0.0,1.0,9.0
1.0,17.0,3.0,19.0,0.0,0.0,4.0,2.0
3.0,18.0,5.0,19.0,0.0,0.0,5.0,5.0
3.0,19.0,7.0,20.0,0.0,0.0,6.0,5.0
0.0,19.0,3.0,20.0,0.0,0.0,7.0,2.0
4.0,19.0,6.0,20.0,1.0,1.0,11.0,5.0
6.0,18.0,7.0,20.0,1.0,1.0,12.0,5.0
7.0,17.0,10.0,20.0,1.0,1.0,13.0,5.0
5.0,18.0,6.0,19.0,7.0,7.0,34.0,4.0
3.0,14.0,7.0,18.0,7.0,7.0,35.0,5.0
7.0,14.0,8.0,17.0,7.0,7.0,36.0,5.0
2.0,16.0,3.0,17.0,8.0,8.0,37.0,1.0
1.0,14.0,2.0,17.0,11.0,11.0,40.0,0.0
2.0,14.0,3.0,16.0,11.0,11.0,41.0,1.0
2.0,14.0,3.0,16.0,11.0,11.0,42.0,1.0
2.0,18.0,3.0,20.0,13.0,13.0,43.0,1.0
7.0,16.0,8.0,17.0,13.0,13.0,44.0,1.0
