l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
7.0,10.0,9.0,11.0,2.0,2.0,12.0,5.0
3.0,6.0,4.0,8.0,2.0,2.0,13.0,7.0
6.0,6.0,9.0,10.0,2.0,2.0,14.0,7.0
4.0,6.0,6.0,9.0,2.0,2.0,15.0,7.0
1.0,7.0,3.0,12.0,3.0,3.0,16.0,4.0
3.0,8.0,4.0,12.0,3.0,3.0,17.0,5.0
4.0,9.0,6.0,11.0,3.0,3.0,18.0,5.0
6.0,10.0,7.0,11.0,3.0,3.0,19.0,5.0
7.0,10.0,8.0,13.0,5.0,5.0,22.0,5.0
2.0,12.0,4.0,13.0,5.0,5.0,23.0,2.0
4.0,11.0,7.0,13.0,5.0,5.0,24.0,4.0
6.0,12.0,7.0,19.0,7.0,7.0,27.0,2.0
3.0,13.0,4.0,17.0,7.0,7.0,31.0,0.0
2.0,13.0,4.0,14.0,10.0,10.0,37.0,0.0
