l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
0.0,0.0,3.0,7.0,0.0,0.0,0.0,7.0
3.0,0.0,4.0,6.0,0.0,0.0,1.0,6.0
6.0,2.0,7.0,4.0,0.0,0.0,2.0,6.0
6.0,0.0,7.0,1.0,0.0,0.0,4.0,3.0
4.0,0.0,6.0,5.0,0.0,0.0,5.0,7.0
3.0,17.0,4.0,20.0,0.0,0.0,7.0,2.0
4.0,18.0,5.0,20.0,0.0,0.0,8.0,2.0
5.0,19.0,7.0,20.0,0.0,0.0,9.0,2.0
-0.0,16.0,3.0,20.0,0.0,0.0,10.0,1.0
7.0,0.0,9.0,7.0,1.0,1.0,11.0,9.0
6.0,2.0,7.0,6.0,1.0,1.0,13.0,6.0
6.0,1.0,7.0,2.0,1.0,1.0,14.0,4.0
3.0,0.0,4.0,5.0,1.0,1.0,15.0,2.0
8.0,12.0,9.0,20.0,7.0,7.0,30.0,0.0
7.0,13.0,8.0,20.0,7.0,7.0,32.0,1.0
5.0,13.0,7.0,19.0,7.0,7.0,34.0,1.0
