l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,0.0,3.0,5.0,0.0,0.0,0.0,8.0
3.0,0.0,6.0,4.0,0.0,0.0,1.0,12.0
2.0,5.0,3.0,9.0,2.0,2.0,12.0,11.0
3.0,4.0,5.0,9.0,2.0,2.0,13.0,17.0
5.0,4.0,6.0,10.0,2.0,2.0,14.0,16.0
6.0,3.0,8.0,10.0,2.0,2.0,15.0,20.0
1.0,4.0,2.0,12.0,3.0,3.0,16.0,4.0
2.0,4.0,3.0,5.0,3.0,3.0,17.0,5.0
2.0,5.0,3.0,9.0,3.0,3.0,18.0,10.0
3.0,9.0,5.0,11.0,3.0,3.0,20.0,10.0
2.0,8.0,3.0,9.0,10.0,10.0,34.0,7.0
2.0,5.0,3.0,6.0,11.0,11.0,36.0,4.0
5.0,4.0,6.0,5.0,11.0,11.0,37.0,6.0
1.0,6.0,2.0,11.0,14.0,14.0,38.0,3.0
5.0,5.0,6.0,6.0,16.0,16.0,39.0,5.0
2.0,3.0,3.0,4.0,19.0,19.0,42.0,3.0
2.0,6.0,3.0,7.0,22.0,22.0,45.0,3.0
2.0,2.0,3.0,3.0,22.0,22.0,46.0,2.0
