l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
3.0,17.0,7.0,20.0,0.0,0.0,4.0,5.0
7.0,18.0,8.0,20.0,0.0,0.0,5.0,5.0
3.0,16.0,7.0,17.0,1.0,1.0,6.0,3.0
7.0,16.0,8.0,18.0,1.0,1.0,7.0,3.0
7.0,16.0,8.0,18.0,1.0,1.0,8.0,3.0
3.0,16.0,5.0,17.0,4.0,4.0,16.0,3.0
7.0,17.0,8.0,18.0,4.0,4.0,17.0,3.0
7.0,11.0,9.0,14.0,5.0,5.0,20.0,7.0
7.0,11.0,9.0,14.0,5.0,5.0,21.0,7.0
7.0,11.0,8.0,14.0,6.0,6.0,22.0,8.0
3.0,13.0,7.0,14.0,6.0,6.0,24.0,7.0
3.0,13.0,7.0,14.0,6.0,6.0,25.0,7.0
3.0,14.0,8.0,16.0,7.0,7.0,26.0,5.0
6.0,13.0,7.0,14.0,9.0,9.0,29.0,6.0
3.0,14.0,6.0,15.0,12.0,12.0,33.0,4.0
8.0,14.0,9.0,20.0,13.0,13.0,34.0,0.0
8.0,14.0,9.0,15.0,15.0,15.0,37.0,0.0
