l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,0.0,3.0,5.0,0.0,0.0,0.0,8.0
3.0,0.0,6.0,4.0,0.0,0.0,1.0,10.0
6.0,0.0,7.0,3.0,0.0,0.0,2.0,8.0
7.0,0.0,8.0,3.0,1.0,1.0,9.0,7.0
2.0,5.0,3.0,9.0,2.0,2.0,11.0,9.0
3.0,4.0,5.0,9.0,2.0,2.0,12.0,18.0
5.0,4.0,6.0,10.0,2.0,2.0,13.0,17.0
6.0,3.0,8.0,10.0,2.0,2.0,14.0,19.0
1.0,4.0,2.0,12.0,3.0,3.0,15.0,4.0
2.0,4.0,3.0,5.0,3.0,3.0,16.0,5.0
2.0,7.0,3.0,9.0,6.0,6.0,27.0,9.0
2.0,5.0,3.0,6.0,11.0,11.0,36.0,4.0
5.0,4.0,6.0,5.0,11.0,11.0,37.0,4.0
6.0,2.0,8.0,3.0,19.0,19.0,40.0,3.0
2.0,3.0,3.0,4.0,19.0,19.0,41.0,2.0
