l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
8.0,1.0,9.0,10.0,2.0,2.0,8.0,8.0
3.0,4.0,6.0,9.0,2.0,2.0,11.0,17.0
6.0,4.0,8.0,10.0,2.0,2.0,12.0,17.0
6.0,4.0,8.0,10.0,2.0,2.0,13.0,17.0
2.0,9.0,4.0,12.0,3.0,3.0,16.0,11.0
4.0,9.0,6.0,11.0,3.0,3.0,17.0,10.0
6.0,10.0,8.0,11.0,3.0,3.0,18.0,12.0
8.0,6.0,9.0,12.0,5.0,5.0,24.0,8.0
4.0,11.0,8.0,12.0,5.0,5.0,25.0,11.0
4.0,12.0,8.0,14.0,6.0,6.0,29.0,11.0
8.0,12.0,9.0,14.0,6.0,6.0,30.0,7.0
4.0,12.0,8.0,14.0,6.0,6.0,32.0,11.0
8.0,12.0,9.0,14.0,6.0,6.0,33.0,7.0
8.0,11.0,9.0,12.0,21.0,21.0,49.0,3.0
2.0,9.0,4.0,11.0,23.0,23.0,50.0,0.0
