l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
3.0,18.0,5.0,20.0,0.0,0.0,5.0,4.0
5.0,19.0,7.0,20.0,0.0,0.0,6.0,5.0
8.0,16.0,9.0,17.0,1.0,1.0,12.0,2.0
6.0,18.0,7.0,19.0,1.0,1.0,13.0,4.0
7.0,17.0,10.0,20.0,1.0,1.0,14.0,4.0
4.0,19.0,5.0,20.0,1.0,1.0,15.0,4.0
7.0,11.0,9.0,13.0,4.0,4.0,26.0,6.0
4.0,11.0,7.0,13.0,5.0,5.0,27.0,4.0
7.0,12.0,8.0,17.0,7.0,7.0,29.0,3.0
8.0,12.0,9.0,16.0,7.0,7.0,30.0,2.0
5.0,18.0,6.0,19.0,7.0,7.0,32.0,3.0
3.0,14.0,4.0,18.0,7.0,7.0,33.0,1.0
4.0,13.0,7.0,18.0,7.0,7.0,34.0,5.0
3.0,17.0,4.0,18.0,8.0,8.0,35.0,2.0
7.0,16.0,8.0,17.0,13.0,13.0,42.0,0.0
2.0,13.0,4.0,15.0,15.0,15.0,44.0,1.0
