l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,0.0,3.0,9.0,0.0,0.0,0.0,18.0
3.0,1.0,4.0,9.0,0.0,0.0,1.0,18.0
4.0,1.0,6.0,8.0,0.0,0.0,2.0,17.0
6.0,2.0,7.0,8.0,0.0,0.0,3.0,16.0
7.0,6.0,8.0,7.0,0.0,0.0,5.0,15.0
7.0,7.0,8.0,9.0,1.0,1.0,6.0,13.0
4.0,8.0,7.0,9.0,1.0,1.0,7.0,11.0
7.0,3.0,8.0,6.0,1.0,1.0,8.0,13.0
7.0,7.0,8.0,8.0,2.0,2.0,11.0,14.0
2.0,9.0,6.0,14.0,3.0,3.0,13.0,9.0
6.0,9.0,8.0,15.0,3.0,3.0,14.0,7.0
6.0,9.0,8.0,15.0,3.0,3.0,15.0,7.0
7.0,5.0,8.0,6.0,5.0,5.0,21.0,11.0
6.0,7.0,7.0,8.0,15.0,15.0,28.0,2.0
6.0,2.0,7.0,6.0,18.0,18.0,29.0,0.0
