l_l_m,l_l_n,u_r_m,u_r_n,n,u
7.0,12.0,9.0,13.0,27.0,27.0
9.0,13.0,10.0,20.0,27.0,27.0
8.0,13.0,9.0,15.0,27.0,27.0
9.0,0.0,10.0,1.0,27.0,27.0
