l_l_m,l_l_n,u_r_m,u_r_n,n,u
2.0,9.0,4.0,12.0,3.0,3.0
8.0,9.0,9.0,14.0,3.0,3.0
4.0,9.0,8.0,13.0,3.0,3.0
7.0,5.0,8.0,7.0,3.0,3.0
