l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,0.0,3.0,5.0,0.0,0.0,0.0,6.0
3.0,0.0,6.0,4.0,0.0,0.0,1.0,7.0
6.0,0.0,7.0,3.0,0.0,0.0,2.0,6.0
1.0,16.0,3.0,20.0,0.0,0.0,3.0,5.0
3.0,17.0,6.0,20.0,0.0,0.0,4.0,5.0
6.0,18.0,7.0,20.0,0.0,0.0,5.0,4.0
7.0,17.0,8.0,20.0,1.0,1.0,7.0,3.0
7.0,17.0,8.0,20.0,1.0,1.0,8.0,3.0
7.0,0.0,8.0,3.0,1.0,1.0,9.0,5.0
6.0,3.0,8.0,10.0,2.0,2.0,14.0,14.0
6.0,18.0,7.0,19.0,7.0,7.0,32.0,1.0
7.0,19.0,8.0,20.0,11.0,11.0,35.0,1.0
2.0,16.0,3.0,18.0,17.0,17.0,38.0,0.0
6.0,2.0,8.0,3.0,19.0,19.0,40.0,0.0
2.0,3.0,3.0,4.0,19.0,19.0,41.0,0.0
