l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
2.0,12.0,4.0,18.0,1.0,1.0,5.0,14.0
4.0,13.0,7.0,18.0,1.0,1.0,6.0,14.0
7.0,13.0,8.0,15.0,1.0,1.0,7.0,13.0
5.0,8.0,8.0,13.0,2.0,2.0,9.0,16.0
8.0,8.0,9.0,16.0,2.0,2.0,10.0,7.0
2.0,9.0,4.0,12.0,2.0,2.0,12.0,10.0
4.0,9.0,5.0,13.0,2.0,2.0,13.0,10.0
4.0,9.0,5.0,13.0,2.0,2.0,14.0,10.0
2.0,5.0,4.0,9.0,3.0,3.0,15.0,7.0
4.0,5.0,5.0,12.0,3.0,3.0,16.0,9.0
5.0,5.0,8.0,8.0,3.0,3.0,17.0,7.0
5.0,5.0,8.0,8.0,3.0,3.0,18.0,7.0
2.0,8.0,4.0,9.0,5.0,5.0,22.0,6.0
2.0,9.0,4.0,10.0,8.0,8.0,24.0,6.0
6.0,8.0,8.0,9.0,14.0,14.0,28.0,3.0
