l_l_m,l_l_n,u_r_m,u_r_n,n,u
8.0,16.0,9.0,20.0,21.0,21.0
9.0,18.0,10.0,20.0,21.0,21.0
3.0,18.0,6.0,20.0,21.0,21.0
6.0,18.0,9.0,20.0,21.0,21.0
6.0,19.0,8.0,20.0,21.0,21.0
9.0,0.0,10.0,4.0,21.0,21.0
