l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
8.0,2.0,9.0,10.0,2.0,2.0,10.0,8.0
3.0,4.0,5.0,9.0,2.0,2.0,12.0,17.0
5.0,4.0,6.0,10.0,2.0,2.0,13.0,16.0
6.0,3.0,8.0,10.0,2.0,2.0,14.0,18.0
2.0,9.0,4.0,12.0,3.0,3.0,17.0,13.0
4.0,9.0,5.0,11.0,3.0,3.0,18.0,10.0
5.0,10.0,8.0,11.0,3.0,3.0,19.0,10.0
4.0,11.0,8.0,12.0,5.0,5.0,22.0,11.0
8.0,7.0,9.0,11.0,5.0,5.0,23.0,7.0
8.0,11.0,9.0,13.0,6.0,6.0,24.0,7.0
2.0,12.0,8.0,13.0,6.0,6.0,26.0,9.0
8.0,13.0,9.0,17.0,7.0,7.0,31.0,5.0
8.0,13.0,9.0,14.0,9.0,9.0,33.0,5.0
6.0,12.0,8.0,13.0,21.0,21.0,43.0,2.0
9.0,3.0,10.0,7.0,22.0,22.0,44.0,0.0
8.0,11.0,9.0,12.0,23.0,23.0,45.0,2.0
