l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
3.0,1.0,6.0,8.0,0.0,0.0,1.0,12.0
7.0,6.0,8.0,7.0,0.0,0.0,4.0,9.0
3.0,10.0,8.0,17.0,1.0,1.0,5.0,13.0
2.0,11.0,3.0,17.0,1.0,1.0,6.0,8.0
2.0,10.0,3.0,16.0,2.0,2.0,7.0,5.0
2.0,7.0,3.0,10.0,3.0,3.0,8.0,6.0
3.0,8.0,6.0,10.0,3.0,3.0,9.0,7.0
6.0,7.0,8.0,10.0,3.0,3.0,10.0,7.0
8.0,7.0,9.0,13.0,3.0,3.0,11.0,4.0
8.0,7.0,9.0,13.0,3.0,3.0,12.0,4.0
6.0,7.0,8.0,8.0,6.0,6.0,18.0,6.0
2.0,10.0,3.0,11.0,8.0,8.0,21.0,1.0
8.0,11.0,9.0,13.0,19.0,19.0,38.0,2.0
8.0,7.0,9.0,9.0,23.0,23.0,43.0,0.0
