l_l_m,l_l_n,u_r_m,u_r_n,n,u
-0.0,16.0,1.0,20.0,17.0,17.0
-0.0,10.0,1.0,13.0,17.0,17.0
1.0,9.0,2.0,10.0,17.0,17.0
