l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
2.0,17.0,4.0,20.0,0.0,0.0,5.0,4.0
4.0,18.0,7.0,20.0,0.0,0.0,6.0,4.0
7.0,9.0,8.0,13.0,5.0,5.0,25.0,8.0
4.0,11.0,7.0,13.0,5.0,5.0,26.0,9.0
5.0,13.0,8.0,14.0,6.0,6.0,27.0,5.0
7.0,12.0,8.0,13.0,7.0,7.0,29.0,7.0
8.0,12.0,9.0,20.0,7.0,7.0,30.0,2.0
4.0,13.0,5.0,18.0,7.0,7.0,32.0,2.0
5.0,14.0,7.0,18.0,7.0,7.0,33.0,4.0
7.0,14.0,8.0,20.0,7.0,7.0,34.0,4.0
7.0,13.0,8.0,14.0,7.0,7.0,35.0,4.0
3.0,13.0,4.0,17.0,7.0,7.0,36.0,2.0
8.0,11.0,9.0,13.0,9.0,9.0,37.0,2.0
2.0,13.0,5.0,14.0,10.0,10.0,39.0,3.0
4.0,17.0,5.0,18.0,11.0,11.0,40.0,1.0
7.0,18.0,8.0,20.0,20.0,20.0,44.0,0.0
