l_l_m,l_l_n,u_r_m,u_r_n,n,u
1.0,12.0,3.0,19.0,5.0,5.0
3.0,18.0,6.0,19.0,5.0,5.0
6.0,17.0,8.0,19.0,5.0,5.0
