l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
7.0,14.0,9.0,20.0,1.0,1.0,2.0,3.0
2.0,15.0,7.0,20.0,1.0,1.0,3.0,5.0
2.0,5.0,3.0,11.0,2.0,2.0,7.0,16.0
3.0,8.0,6.0,11.0,2.0,2.0,8.0,16.0
6.0,8.0,8.0,12.0,2.0,2.0,9.0,14.0
8.0,6.0,9.0,10.0,2.0,2.0,10.0,9.0
2.0,11.0,4.0,12.0,3.0,3.0,13.0,10.0
4.0,11.0,6.0,12.0,4.0,4.0,14.0,9.0
8.0,10.0,9.0,11.0,4.0,4.0,15.0,7.0
2.0,12.0,8.0,13.0,5.0,5.0,16.0,3.0
2.0,13.0,7.0,15.0,8.0,8.0,19.0,1.0
7.0,13.0,8.0,14.0,8.0,8.0,20.0,2.0
7.0,13.0,8.0,14.0,8.0,8.0,21.0,2.0
2.0,10.0,3.0,11.0,8.0,8.0,22.0,9.0
3.0,8.0,6.0,9.0,9.0,9.0,24.0,12.0
6.0,8.0,8.0,10.0,10.0,10.0,25.0,11.0
2.0,12.0,4.0,13.0,14.0,14.0,29.0,1.0
8.0,11.0,9.0,12.0,15.0,15.0,30.0,5.0
7.0,14.0,8.0,18.0,17.0,17.0,33.0,0.0
7.0,10.0,8.0,11.0,18.0,18.0,34.0,6.0
7.0,12.0,9.0,13.0,21.0,21.0,35.0,3.0
5.0,11.0,6.0,12.0,22.0,22.0,36.0,3.0
8.0,13.0,9.0,14.0,23.0,23.0,38.0,0.0
6.0,12.0,7.0,13.0,24.0,24.0,39.0,1.0
