l_l_m,l_l_n,u_r_m,u_r_n,n,u
9.0,14.0,10.0,20.0,6.0,6.0
8.0,16.0,9.0,20.0,6.0,6.0
9.0,0.0,10.0,7.0,6.0,6.0
7.0,9.0,8.0,13.0,6.0,6.0
