l_l_m,l_l_n,u_r_m,u_r_n,n,u
7.0,9.0,9.0,12.0,2.0,2.0
2.0,11.0,3.0,12.0,2.0,2.0
3.0,10.0,7.0,12.0,2.0,2.0
