l_l_m,l_l_n,u_r_m,u_r_n,n,u
3.0,17.0,4.0,18.0,12.0,12.0
5.0,19.0,8.0,20.0,12.0,12.0
2.0,18.0,8.0,19.0,12.0,12.0
8.0,18.0,9.0,19.0,12.0,12.0
