l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
1.0,0.0,3.0,7.0,0.0,0.0,0.0,10.0
3.0,0.0,7.0,6.0,0.0,0.0,1.0,21.0
7.0,3.0,8.0,5.0,0.0,0.0,2.0,14.0
7.0,5.0,8.0,7.0,1.0,1.0,6.0,16.0
7.0,2.0,8.0,3.0,1.0,1.0,7.0,10.0
2.0,4.0,3.0,10.0,2.0,2.0,12.0,15.0
3.0,6.0,7.0,10.0,2.0,2.0,13.0,18.0
7.0,7.0,8.0,10.0,2.0,2.0,14.0,17.0
1.0,7.0,2.0,12.0,3.0,3.0,15.0,1.0
2.0,6.0,3.0,7.0,4.0,4.0,23.0,11.0
2.0,1.0,3.0,3.0,13.0,13.0,39.0,5.0
2.0,8.0,3.0,10.0,15.0,15.0,42.0,7.0
2.0,3.0,3.0,4.0,19.0,19.0,46.0,4.0
7.0,7.0,8.0,8.0,20.0,20.0,47.0,5.0
1.0,7.0,2.0,8.0,20.0,20.0,48.0,0.0
