l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
4.0,18.0,6.0,20.0,0.0,0.0,5.0,4.0
6.0,19.0,7.0,20.0,0.0,0.0,6.0,4.0
0.0,17.0,4.0,20.0,0.0,0.0,7.0,4.0
7.0,10.0,8.0,13.0,5.0,5.0,22.0,9.0
6.0,12.0,7.0,19.0,7.0,7.0,27.0,5.0
7.0,13.0,8.0,20.0,7.0,7.0,28.0,5.0
8.0,12.0,9.0,20.0,7.0,7.0,29.0,3.0
3.0,13.0,4.0,17.0,7.0,7.0,31.0,2.0
4.0,13.0,6.0,18.0,7.0,7.0,32.0,5.0
4.0,13.0,6.0,18.0,7.0,7.0,33.0,5.0
8.0,12.0,9.0,13.0,9.0,9.0,35.0,3.0
2.0,13.0,4.0,14.0,10.0,10.0,37.0,4.0
2.0,16.0,4.0,17.0,11.0,11.0,38.0,0.0
4.0,17.0,6.0,18.0,13.0,13.0,40.0,0.0
6.0,18.0,7.0,19.0,20.0,20.0,44.0,0.0
