l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
3.0,1.0,4.0,9.0,0.0,0.0,1.0,19.0
4.0,1.0,5.0,8.0,0.0,0.0,2.0,18.0
5.0,2.0,7.0,8.0,0.0,0.0,3.0,19.0
7.0,2.0,8.0,3.0,0.0,0.0,4.0,10.0
7.0,6.0,8.0,7.0,0.0,0.0,5.0,18.0
7.0,7.0,8.0,9.0,1.0,1.0,6.0,15.0
4.0,8.0,7.0,9.0,1.0,1.0,7.0,12.0
7.0,3.0,8.0,6.0,1.0,1.0,8.0,14.0
8.0,2.0,9.0,7.0,2.0,2.0,10.0,6.0
5.0,1.0,8.0,2.0,2.0,2.0,11.0,6.0
8.0,7.0,9.0,13.0,3.0,3.0,12.0,4.0
4.0,9.0,8.0,13.0,3.0,3.0,15.0,8.0
4.0,9.0,8.0,13.0,3.0,3.0,16.0,8.0
7.0,5.0,8.0,6.0,3.0,3.0,17.0,15.0
3.0,0.0,8.0,1.0,4.0,4.0,18.0,2.0
8.0,0.0,9.0,2.0,4.0,4.0,19.0,2.0
8.0,0.0,9.0,2.0,4.0,4.0,20.0,2.0
4.0,7.0,5.0,8.0,6.0,6.0,23.0,11.0
8.0,7.0,9.0,8.0,9.0,9.0,24.0,4.0
7.0,3.0,8.0,4.0,11.0,11.0,26.0,6.0
9.0,3.0,10.0,6.0,21.0,21.0,35.0,0.0
6.0,8.0,7.0,9.0,21.0,21.0,36.0,0.0
7.0,0.0,8.0,1.0,21.0,21.0,37.0,0.0
