l_l_m,l_l_n,u_r_m,u_r_n,n,u
8.0,4.0,9.0,9.0,2.0,2.0
2.0,8.0,4.0,11.0,2.0,2.0
4.0,8.0,7.0,10.0,2.0,2.0
7.0,8.0,8.0,9.0,2.0,2.0
7.0,8.0,8.0,9.0,2.0,2.0
