l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
2.0,2.0,8.0,8.0,0.0,0.0,0.0,18.0
4.0,11.0,5.0,18.0,1.0,1.0,2.0,7.0
5.0,11.0,8.0,17.0,1.0,1.0,3.0,8.0
8.0,3.0,9.0,11.0,2.0,2.0,4.0,7.0
5.0,17.0,8.0,18.0,5.0,5.0,14.0,6.0
1.0,18.0,7.0,19.0,5.0,5.0,15.0,4.0
2.0,0.0,8.0,2.0,6.0,6.0,16.0,7.0
8.0,0.0,9.0,2.0,6.0,6.0,17.0,8.0
8.0,15.0,9.0,20.0,6.0,6.0,18.0,3.0
2.0,19.0,7.0,20.0,6.0,6.0,19.0,3.0
7.0,18.0,8.0,20.0,6.0,6.0,20.0,4.0
8.0,2.0,9.0,6.0,12.0,12.0,24.0,7.0
6.0,1.0,8.0,2.0,15.0,15.0,27.0,6.0
4.0,16.0,5.0,18.0,17.0,17.0,29.0,2.0
6.0,0.0,8.0,1.0,19.0,19.0,35.0,1.0
6.0,18.0,7.0,19.0,22.0,22.0,38.0,0.0
2.0,1.0,6.0,2.0,23.0,23.0,39.0,0.0
8.0,1.0,9.0,2.0,23.0,23.0,40.0,2.0
