l_l_m,l_l_n,u_r_m,u_r_n,n,u
6.0,17.0,9.0,20.0,6.0,6.0
2.0,18.0,6.0,20.0,6.0,6.0
2.0,0.0,6.0,2.0,6.0,6.0
8.0,0.0,9.0,5.0,6.0,6.0
6.0,0.0,8.0,1.0,6.0,6.0
